Event Name,StartDateTime,EndDateTime,Timezone,Location,Desc,Category,Lanes
CONFIG,EventTitle,PoC Laguna Seca 2025,,,,,
Travel/Load-In,8/20/2025 12:00,8/21/2025 23:00,America/Los_Angeles,Laguna Seca,,Meeting,
Registration and Tech Inspections,8/22/2025 8:00,8/22/2025 9:00,America/Los_Angeles,Paddock Garage,,Meeting,
Drivers Meeting,8/22/2025 8:15,8/22/2025 8:45,America/Los_Angeles,Near Registration,,Meeting,
PCA Group 1 - Practice #1,8/22/2025 9:00,8/22/2025 9:25,America/Los_Angeles,On Track,,Track,
PCA Group 1 - Practice #2,8/22/2025 11:05,8/22/2025 11:30,America/Los_Angeles,On Track,,Track,
Lunch,8/22/2025 11:55,8/22/2025 12:25,America/Los_Angeles,Laguna Seca,,Lunch,
PCA Group 1 - Quali,8/22/2025 13:40,8/22/2025 14:05,America/Los_Angeles,On Track,,Track,
Registration and Tech Inspections,8/23/2025 7:00,8/23/2025 8:00,America/Los_Angeles,Paddock Garage,,Meeting,
POC Drivers Meeting,8/23/2025 7:00,8/23/2025 7:25,America/Los_Angeles,Near Registration,,Meeting,
PCA Drivers Meeting,8/23/2025 7:25,8/23/2025 8:00,America/Los_Angeles,Near Registration,,Meeting,
PCA Group 1 - Warmup,8/23/2025 9:20,8/23/2025 9:40,America/Los_Angeles,On Track,,Track,
PCA Group 1 - Race #1,8/23/2025 11:15,8/23/2025 11:50,America/Los_Angeles,On Track,,Track,
Lunch,8/23/2025 12:25,8/23/2025 12:55,America/Los_Angeles,Laguna Seca,,Lunch,
PCA Group 1 - Race #2,8/23/2025 14:20,8/23/2025 14:55,America/Los_Angeles,On Track,,Track,
PCA Drivers Meeting,8/24/2025 7:45,8/24/2025 8:00,America/Los_Angeles,Near Registration,,Meeting,
PCA Group 1 - Warmup,8/24/2025 10:15,8/24/2025 10:40,America/Los_Angeles,On Track,,Track,
Lunch,8/24/2025 12:05,8/24/2025 12:35,America/Los_Angeles,Laguna Seca,,Lunch,
PCA Group 1 - Race #3,8/24/2025 13:00,8/24/2025 13:50,America/Los_Angeles,On Track,,Track,
