Event Name,StartDateTime,EndDateTime,Timezone,Location,Desc,Category,Lanes
CONFIG,EventTitle,2026 USAC Road Racing - Apex Motor Club (Feb 6-8, 2026),,,,,
Transporter Load-in,02/04/2026 07:30,02/04/2026 08:00,America/Phoenix,"Staging (End of Ralston Road) - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",USAC/PMNA/Yokohama,Ops,OPS
Registration Hours (PSCUW),02/05/2026 09:00,02/05/2026 17:00,America/Phoenix,"Outside Drivers Lounge (registration tent) - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Competitor Trucks Load-in,02/05/2026 11:00,02/05/2026 11:01,America/Phoenix,"Staging (End of Ralston Road) - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Competitor Load in - 11:00am Thursday (PDF point-time; end set +1 min for calendar import)",Ops,OPS
Team Manager Briefing (PSCUW),02/05/2026 16:00,02/05/2026 16:00,America/Phoenix,"TBD - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Meeting,Porsche Sprint Challenge USA West
All Series Track Walk,02/05/2026 16:30,02/05/2026 16:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,OPS
Al Kamel North America Track Test,02/06/2026 07:30,02/06/2026 07:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,OPS
Registration Hours (PSCUW),02/06/2026 07:30,02/06/2026 16:00,America/Phoenix,"Outside Drivers Lounge (registration tent) - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Tech (PSCUW),02/06/2026 08:00,02/06/2026 17:30,America/Phoenix,"TBD - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW / Apex GT Test 1 (PSCUW lane),02/06/2026 08:30,02/06/2026 09:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Shared session: PSCUW / Apex GT",Track,Porsche Sprint Challenge USA West
PSCUW / Apex GT Test 1 (Apex GT lane),02/06/2026 08:30,02/06/2026 09:30,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Shared session: PSCUW / Apex GT",Track,Apex GT
Miata Practice 1,02/06/2026 09:40,02/06/2026 10:10,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Miata
Apex Radical Practice 1,02/06/2026 10:20,02/06/2026 10:50,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex Radical
PSCUW / Apex GT Test 2 (PSCUW lane),02/06/2026 11:05,02/06/2026 12:05,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Shared session: PSCUW / Apex GT",Track,Porsche Sprint Challenge USA West
PSCUW / Apex GT Test 2 (Apex GT lane),02/06/2026 11:05,02/06/2026 12:05,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Shared session: PSCUW / Apex GT",Track,Apex GT
Porsche Hospitality - Lunch (PSCUW),02/06/2026 11:30,02/06/2026 13:30,America/Phoenix,"Porsche Hospitality - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Miata Practice 2,02/06/2026 12:15,02/06/2026 12:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Miata
Apex Radical Practice 2,02/06/2026 12:55,02/06/2026 13:25,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex Radical
PSCUW / Apex GT Test 3 (PSCUW lane),02/06/2026 13:40,02/06/2026 14:40,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Shared session: PSCUW / Apex GT",Track,Porsche Sprint Challenge USA West
PSCUW / Apex GT Test 3 (Apex GT lane),02/06/2026 13:40,02/06/2026 14:40,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Shared session: PSCUW / Apex GT",Track,Apex GT
Miata Practice 3,02/06/2026 14:50,02/06/2026 15:20,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Miata
Apex Radical Practice 3,02/06/2026 15:30,02/06/2026 16:00,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex Radical
PSCUW Practice 1,02/06/2026 16:15,02/06/2026 16:55,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
Apex Radical Practice 4,02/06/2026 17:05,02/06/2026 17:35,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex Radical
Porsche Hospitality - Reception (PSCUW),02/06/2026 17:00,02/06/2026 19:00,America/Phoenix,"Porsche Hospitality - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Al Kamel North America Track Test,02/07/2026 07:30,02/07/2026 07:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,OPS
Registration Hours (PSCUW),02/07/2026 07:30,02/07/2026 15:00,America/Phoenix,"Outside Drivers Lounge (registration tent) - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
Porsche Hospitality - Breakfast (PSCUW),02/07/2026 07:30,02/07/2026 21:30,America/Phoenix,"Porsche Hospitality - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","End time captured as 9:30 PM in source",Ops,Porsche Sprint Challenge USA West
Tech (PSCUW),02/07/2026 08:00,02/07/2026 16:00,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Ops,Porsche Sprint Challenge USA West
PSCUW Practice 2,02/07/2026 08:30,02/07/2026 09:10,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Porsche Sprint Challenge USA West
Apex Time Attack Session 1,02/07/2026 09:25,02/07/2026 09:45,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,OPS
Apex GT Challenge Qualifying,02/07/2026 10:00,02/07/2026 10:20,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,Apex GT
Driver & Team Manager Briefing (PSCUW),02/07/2026 10:30,02/07/2026 10:30,America/Phoenix,"TBD - Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Meeting,Porsche Sprint Challenge USA West
Apex Time Attack Session 2,02/07/2026 10:35,02/07/2026 10:55,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139",,Track,OPS
PSCUW Driver Weight In Deadline,02/07/2026 11:00,02/07/2026 11:00,America/Phoenix,"Apex Motor Club, 22408 N Ralston Rd, Maricopa, AZ 85139","Driver Weight In must be complete by 11:00am on Saturday",Ops,Porsche Sprint Challenge USA West
