Event Name,StartDateTime,EndDateTime,Timezone,Location,Desc,Category,Lanes
CONFIG,EventTitle,ROAR Before the 24,,,,,
Registration Hours,01/13/2026 12:00,01/13/2026 17:00,America/New_York,"IMSA Credential Office - 2013 Dunn Ave, Daytona Beach, FL",,Ops,OPS
Registration Hours,01/14/2026 08:00,01/14/2026 17:00,America/New_York,"IMSA Credential Office - 2013 Dunn Ave, Daytona Beach, FL",,Ops,OPS
Registration Hours,01/15/2026 06:00,01/15/2026 17:00,America/New_York,"IMSA Credential Office - 2013 Dunn Ave, Daytona Beach, FL",,Ops,OPS
WeatherTech Championship HV Operating Protocol Review,01/15/2026 11:30,01/15/2026 12:00,America/New_York,Track Meeting Room - Daytona International Speedway,,Meeting,WeatherTech Championship
WeatherTech Championship Driver & Team Manager Briefing,01/15/2026 12:15,01/15/2026 13:00,America/New_York,Track Meeting Room - Daytona International Speedway,,Meeting,WeatherTech Championship
MICHELIN CHALLENGE Driver & Team Manager Briefing,01/15/2026 13:00,01/15/2026 13:45,America/New_York,Track Meeting Room - Daytona International Speedway,,Meeting,MICHELIN CHALLENGE
VP CHALLENGE Team Manager Briefing,01/15/2026 13:45,01/15/2026 14:15,America/New_York,Track Meeting Room - Daytona International Speedway,,Meeting,VP CHALLENGE
VP CHALLENGE New Driver Briefing (new to VPRC or DIS),01/16/2026 12:00,01/16/2026 12:30,America/New_York,Track Meeting Room - Daytona International Speedway,,Meeting,VP CHALLENGE
VP CHALLENGE Driver & Team Manager Briefing,01/17/2026 12:00,01/17/2026 12:30,America/New_York,Track Meeting Room - Daytona International Speedway,,Meeting,VP CHALLENGE
IMSA Transporters park and set up (Yellow Garages),01/11/2026 12:00,01/11/2026 12:30,America/New_York,Daytona International Speedway,,Ops,OPS
IMSA set up,01/12/2026 08:00,01/12/2026 08:30,America/New_York,Daytona International Speedway,,Ops,OPS
IMSA transporters park and set up (Blue Garages),01/12/2026 08:00,01/12/2026 08:30,America/New_York,Daytona International Speedway,,Ops,OPS
Industry suppliers load-in (Airgas) - per IMSA Logistics,01/12/2026 10:30,01/12/2026 11:00,America/New_York,Daytona International Speedway,,Ops,OPS
Industry suppliers load-in (Michelin) - per IMSA Logistics,01/12/2026 11:00,01/12/2026 11:30,America/New_York,Daytona International Speedway,,Ops,OPS
Industry suppliers load-in (VP Racing) - per IMSA Logistics,01/12/2026 11:30,01/12/2026 12:00,America/New_York,Daytona International Speedway,,Ops,OPS
IMSA set up,01/13/2026 07:00,01/13/2026 17:00,America/New_York,Daytona International Speedway,,Ops,OPS
T&S set up and cabling access (Tower and Pit Lane),01/13/2026 07:00,01/13/2026 17:00,America/New_York,Daytona International Speedway,,Ops,OPS
T&S set up and cabling access (on-track),01/14/2026 07:00,01/14/2026 18:00,America/New_York,Daytona International Speedway,,Ops,OPS
IMSA set up,01/14/2026 07:00,01/14/2026 18:30,America/New_York,Daytona International Speedway,,Ops,OPS
Industry and manufacturer support load-in,01/14/2026 11:00,01/14/2026 12:00,America/New_York,Daytona International Speedway,,Ops,OPS
"On-track media activity (Pit-In, cold track)",01/14/2026 11:00,01/14/2026 12:00,America/New_York,Daytona International Speedway,,Track,OPS
WeatherTech Championship competitor transporter load-in (park only; no opening),01/14/2026 14:00,01/14/2026 14:30,America/New_York,Daytona International Speedway,,Ops,WeatherTech Championship
WeatherTech Championship supplemental transporter load-in (park only; no opening),01/14/2026 16:00,01/14/2026 16:30,America/New_York,Daytona International Speedway,,Ops,WeatherTech Championship
Garages close (all),01/14/2026 18:30,01/14/2026 18:35,America/New_York,Daytona International Speedway,,Ops,OPS
