Event Name,StartDateTime,EndDateTime,Timezone,Location,Desc,Category,Lanes
CONFIG,EventTitle,Barber GR86 Cup,,,,,
Load-In,09/03/2025 08:00,09/03/2025 12:00,America/Los_Angeles,Barber Motorsports Park,,Meeting,
Track Walk,09/03/2025 16:00,09/03/2025 18:00,America/Los_Angeles,Barber Motorsports Park,,Meeting,
Driver/Team Manager Briefing,09/04/2025 14:00,09/04/2025 15:00,America/Los_Angeles,Barber Motorsports Park,,Meeting,
Driver/Team Manager Briefing,09/06/2025 12:00,09/06/2025 13:00,America/Los_Angeles,Barber Motorsports Park,,Meeting,
Test 1,09/04/2025 13:25,09/04/2025 13:55,America/Los_Angeles,Barber Motorsports Park,,Track,
Test 2,09/05/2025 09:10,09/05/2025 09:40,America/Los_Angeles,Barber Motorsports Park,,Track,
Practice 1,09/05/2025 13:30,09/05/2025 14:00,America/Los_Angeles,Barber Motorsports Park,,Track,
Practice 2,09/05/2025 17:30,09/05/2025 18:00,America/Los_Angeles,Barber Motorsports Park,,Track,
Practice 2,09/05/2025 17:30,09/05/2025 18:00,America/Los_Angeles,Barber Motorsports Park,,Track,
Quali 1,09/06/2025 08:45,09/06/2025 09:00,America/Los_Angeles,Barber Motorsports Park,,Track,
Race 1,09/06/2025 13:40,09/06/2025 14:25,America/Los_Angeles,Barber Motorsports Park,,Track,
Quali 2,09/07/2025 08:10,09/07/2025 08:25,America/Los_Angeles,Barber Motorsports Park,,Track,
Race 2,09/07/2025 10:05,09/07/2025 10:50,America/Los_Angeles,Barber Motorsports Park,,Track,
